72,mmr_polbnda_adm3_250k_mimu_1.127,Mandalay,MMR010,Mandalay,MMR010D001,Chanayethazan,MMR010002,ချမ်းအေးသာစံ,33281,23628,149352,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},695,3125,25819
13,mmr_polbnda_adm3_250k_mimu_1.13,Ayeyarwady,MMR017,Myaungmya,MMR017D003,Einme,MMR017015,အိမ်မဲ,46455,2242,124102,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},77,86,2322
34,mmr_polbnda_adm3_250k_mimu_1.79,Kachin,MMR001,Puta-O,MMR001D004,Nawngmun,MMR001017,နောင်မွန်း,1212,6,3856,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,7
61,mmr_polbnda_adm3_250k_mimu_1.107,Magway,MMR009,Minbu,MMR009D002,Pwintbyu,MMR009008,ပွင့်ဖြူ,39764,1102,111778,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},58,1,1227
85,mmr_polbnda_adm3_250k_mimu_1.58,Chin,MMR004,Hakha,MMR004D003,Hakha,MMR004002,ဟားခါး,9917,373,28602,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},86,119,387
94,mmr_polbnda_adm3_250k_mimu_1.67,Kachin,MMR001,Bhamo,MMR001D003,Shwegu,MMR001011,ရွှေကူ,16621,121,57860,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,127
100,mmr_polbnda_adm3_250k_mimu_1.73,Kachin,MMR001,Myitkyina,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,52591,4429,202120,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},259,207,4529
139,mmr_polbnda_adm3_250k_mimu_1.216,Sagaing,MMR005,Tamu,MMR005D006,Tamu,MMR005030,တမူး,22591,764,67506,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},108,134,776
144,mmr_polbnda_adm3_250k_mimu_1.111,Magway,MMR009,Pakokku,MMR009D004,Pakokku,MMR009018,ပခုက္ကူ,66340,14933,198890,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},245,448,16259
149,mmr_polbnda_adm3_250k_mimu_1.228,Shan (East),MMR222,Tachileik,MMR016D004,Monghpyak,MMR016010,မိုင်းဖြတ်,6165,24,18589,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},1,1,27
153,mmr_polbnda_adm3_250k_mimu_1.116,Magway,MMR009,Thayet,MMR009D003,Kamma,MMR009015,ကံမ,19143,587,55434,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,651
160,mmr_polbnda_adm3_250k_mimu_1.243,Shan (North),MMR222,Lashio,MMR015D001,Mongyai,MMR015003,မိုင်းရယ်,13328,63,37434,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,64
163,mmr_polbnda_adm3_250k_mimu_1.121,Mandalay,MMR010,Kyaukse,MMR010D003,Kyaukse,MMR010013,ကျောက်ဆည်,57765,7883,175783,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},230,459,8605
180,mmr_polbnda_adm3_250k_mimu_1.252,Shan (North),MMR222,Muse,MMR015D002,Namhkan,MMR015010,နမ့်ခမ်း,21417,188,67723,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,204
226,mmr_polbnda_adm3_250k_mimu_1.195,Sagaing,MMR005,Kawlin,MMR005D004,Kawlin,MMR005024,ကောလင်း,31403,284,98469,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},71,169,297
